M R T rho P L hydrogen tritium carbonium nitrum oxygen
0.9982663 0.89917 5.971e+05 2.609e-02 2.115e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9984032 0.90229 5.756e+05 2.469e-02 1.929e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9985298 0.90533 5.548e+05 2.336e-02 1.759e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9986468 0.90827 5.348e+05 2.210e-02 1.605e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9987549 0.91112 5.156e+05 2.091e-02 1.463e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9988546 0.91389 4.970e+05 1.979e-02 1.335e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9989467 0.91657 4.792e+05 1.872e-02 1.217e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9990316 0.91917 4.619e+05 1.771e-02 1.110e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9991099 0.92169 4.453e+05 1.676e-02 1.012e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9991821 0.92413 4.293e+05 1.586e-02 9.232e+11 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9992486 0.92650 4.139e+05 1.500e-02 8.420e+11 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9993099 0.92879 3.990e+05 1.420e-02 7.679e+11 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9993663 0.93101 3.847e+05 1.343e-02 7.003e+11 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9994182 0.93316 3.709e+05 1.271e-02 6.387e+11 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9994660 0.93524 3.577e+05 1.202e-02 5.825e+11 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9995100 0.93725 3.449e+05 1.137e-02 5.312e+11 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9995504 0.93920 3.325e+05 1.076e-02 4.845e+11 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9995876 0.94109 3.207e+05 1.018e-02 4.418e+11 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9996218 0.94292 3.092e+05 9.632e-03 4.029e+11 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9996532 0.94468 2.982e+05 9.112e-03 3.675e+11 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9996820 0.94640 2.876e+05 8.620e-03 3.351e+11 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9997095 0.94811 2.770e+05 8.136e-03 3.045e+11 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
